source,target,target_scenario,source_holonomy,target_holonomy_orig,target_holonomy_patched,delta,shifted_toward_source
T1/test/0,T0/test/0,T0,40.00514439647169,45.710331694216535,40.00514439647169,-5.705187297744843,True
T1/test/1,T0/test/1,T0,40.87168761765368,43.60363033167878,40.87168761765368,-2.7319427140251022,True
T1/test/2,T0/test/2,T0,40.87168761765368,43.60363033167878,40.87168761765368,-2.7319427140251022,True
T1/test/3,T0/test/3,T0,40.72466197133412,43.33807073888522,40.72466197133412,-2.6134087675510997,True
T1/test/4,T0/test/4,T0,44.421778001281886,43.59988478472477,44.421778001281886,0.8218932165571147,True
T1/test/5,T0/test/5,T0,40.00514439647169,45.710331694216535,40.00514439647169,-5.705187297744843,True
T1/test/6,T0/test/6,T0,40.00514439647169,45.710331694216535,40.00514439647169,-5.705187297744843,True
T1/test/7,T0/test/7,T0,40.87168761765368,43.60363033167878,40.87168761765368,-2.7319427140251022,True
T1/test/8,T0/test/8,T0,43.688414523977606,44.41740240136497,43.688414523977606,-0.728987877387361,True
T1/test/9,T0/test/9,T0,38.4252842621487,43.256543566271276,38.4252842621487,-4.831259304122575,True
T1/test/0,T2/test/0,T2,40.00514439647169,39.900565483343506,40.00514439647169,0.10457891312818646,True
T1/test/1,T2/test/1,T2,40.87168761765368,44.18258491488469,40.87168761765368,-3.3108972972310156,True
T1/test/2,T2/test/2,T2,40.87168761765368,44.18258491488469,40.87168761765368,-3.3108972972310156,True
T1/test/3,T2/test/3,T2,40.72466197133412,40.15385486769531,40.72466197133412,0.5708071036388134,True
T1/test/4,T2/test/4,T2,44.421778001281886,41.46956925625731,44.421778001281886,2.9522087450245778,True
T1/test/5,T2/test/5,T2,40.00514439647169,39.900565483343506,40.00514439647169,0.10457891312818646,True
T1/test/6,T2/test/6,T2,40.00514439647169,39.900565483343506,40.00514439647169,0.10457891312818646,True
T1/test/7,T2/test/7,T2,40.87168761765368,44.18258491488469,40.87168761765368,-3.3108972972310156,True
T1/test/8,T2/test/8,T2,43.688414523977606,40.07196737546456,43.688414523977606,3.6164471485130463,True
T1/test/9,T2/test/9,T2,38.4252842621487,39.57859653589385,38.4252842621487,-1.1533122737451507,True
T1/test/0,T3/test/0,T3,40.00514439647169,39.23439798902624,40.00514439647169,0.7707464074454506,True
T1/test/1,T3/test/1,T3,40.87168761765368,41.92281860568647,40.87168761765368,-1.0511309880327957,True
T1/test/2,T3/test/2,T3,40.87168761765368,41.92281860568647,40.87168761765368,-1.0511309880327957,True
T1/test/3,T3/test/3,T3,40.72466197133412,42.71653368712244,40.72466197133412,-1.9918717157883208,True
T1/test/4,T3/test/4,T3,44.421778001281886,42.76328466060235,44.421778001281886,1.6584933406795344,True
T1/test/5,T3/test/5,T3,40.00514439647169,39.23439798902624,40.00514439647169,0.7707464074454506,True
T1/test/6,T3/test/6,T3,40.00514439647169,39.23439798902624,40.00514439647169,0.7707464074454506,True
T1/test/7,T3/test/7,T3,40.87168761765368,41.92281860568647,40.87168761765368,-1.0511309880327957,True
T1/test/8,T3/test/8,T3,43.688414523977606,39.23076175414118,43.688414523977606,4.457652769836429,True
T1/test/9,T3/test/9,T3,38.4252842621487,40.09454077133942,38.4252842621487,-1.669256509190717,True
T1/test/0,T4/test/0,T4,40.00514439647169,42.30983749948468,40.00514439647169,-2.304693103012987,True
T1/test/1,T4/test/1,T4,40.87168761765368,42.107289787419475,40.87168761765368,-1.235602169765798,True
T1/test/2,T4/test/2,T4,40.87168761765368,42.107289787419475,40.87168761765368,-1.235602169765798,True
T1/test/3,T4/test/3,T4,40.72466197133412,44.133511885299185,40.72466197133412,-3.4088499139650636,True
T1/test/4,T4/test/4,T4,44.421778001281886,41.55793871271301,44.421778001281886,2.863839288568876,True
T1/test/5,T4/test/5,T4,40.00514439647169,42.30983749948468,40.00514439647169,-2.304693103012987,True
T1/test/6,T4/test/6,T4,40.00514439647169,42.30983749948468,40.00514439647169,-2.304693103012987,True
T1/test/7,T4/test/7,T4,40.87168761765368,42.107289787419475,40.87168761765368,-1.235602169765798,True
T1/test/8,T4/test/8,T4,43.688414523977606,42.407071179047236,43.688414523977606,1.2813433449303702,True
T1/test/9,T4/test/9,T4,38.4252842621487,39.15358698063053,38.4252842621487,-0.728302718481828,True
T1/test/0,T5/test/0,T5,40.00514439647169,38.31485024918604,40.00514439647169,1.6902941472856554,True
T1/test/1,T5/test/1,T5,40.87168761765368,39.953635667893444,40.87168761765368,0.9180519497602333,True
T1/test/2,T5/test/2,T5,40.87168761765368,39.953635667893444,40.87168761765368,0.9180519497602333,True
T1/test/3,T5/test/3,T5,40.72466197133412,41.853475268610566,40.72466197133412,-1.1288132972764444,True
T1/test/4,T5/test/4,T5,44.421778001281886,42.107727934858154,44.421778001281886,2.3140500664237322,True
T1/test/5,T5/test/5,T5,40.00514439647169,38.31485024918604,40.00514439647169,1.6902941472856554,True
T1/test/6,T5/test/6,T5,40.00514439647169,38.31485024918604,40.00514439647169,1.6902941472856554,True
T1/test/7,T5/test/7,T5,40.87168761765368,39.953635667893444,40.87168761765368,0.9180519497602333,True
T1/test/8,T5/test/8,T5,43.688414523977606,41.27031866388412,43.688414523977606,2.418095860093487,True
T1/test/9,T5/test/9,T5,38.4252842621487,40.901783504187925,38.4252842621487,-2.4764992420392247,True
